gene,functional_group,mechanistic_role,mitophagy_specificity,literature_basis,frozen_300_gene_feature_set,included_in_sqstm1_pathway_rank_test,interpretive_tier,study_evidence_note
PINK1,PINK1-Parkin axis,Mitochondrial damage-sensing kinase,Mitophagy pathway core but not a selective-autophagy receptor,"Lazarou et al. Nature 2015; doi:10.1038/nature14893",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
PRKN,PINK1-Parkin axis,Ubiquitin E3 ligase,Mitophagy pathway core but not a selective-autophagy receptor,"Lazarou et al. Nature 2015; doi:10.1038/nature14893",No,No,Prespecified panel component,Absent from the frozen 300-gene virtual-knockout feature set
BNIP3,Membrane-anchored receptor,LC3-interacting mitochondrial receptor,Receptor-mediated mitophagy with broader stress functions,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
BNIP3L,Membrane-anchored receptor,LC3-interacting mitochondrial receptor,Receptor-mediated mitophagy with broader erythroid and stress functions,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,Directionally lower in both displayed transcript contrasts; neither effect was FDR-supported
FUNDC1,Membrane-anchored receptor,LC3-interacting mitochondrial receptor,Hypoxia-associated receptor-mediated mitophagy,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",No,No,Prespecified panel component,Absent from the frozen 300-gene virtual-knockout feature set
AMBRA1,Autophagy regulator,Autophagy initiation and receptor-associated regulator,Not mitophagy-exclusive,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",No,No,Prespecified panel component,Absent from the frozen 300-gene virtual-knockout feature set
BCL2L13,Membrane-anchored receptor,Mammalian Atg32-like mitochondrial receptor,Receptor-mediated mitophagy with broader apoptosis functions,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
FKBP8,Membrane-anchored receptor,Mitochondrial LC3-interacting receptor,Receptor-mediated mitophagy with broader apoptosis functions,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
PHB2,Membrane-anchored receptor,Inner-membrane LC3 receptor exposed after outer-membrane rupture,Mitophagy receptor with additional mitochondrial functions,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
OPTN,Ubiquitin-binding selective-autophagy receptor,Phospho-ubiquitin-responsive receptor regulated by TBK1,Mechanistically supported in PINK1-Parkin mitophagy but not mitophagy-exclusive,"Lazarou et al. Nature 2015; doi:10.1038/nature14893",Yes,Yes,Mechanistic-context control,"Descriptive SONFH-vs-HOA log2FC +0.469; no available paired Liao effect in the frozen display; weak SQSTM1-KO ranks (HOA2 227; HOA3 165); not prioritized by current data"
CALCOCO2,Ubiquitin-binding selective-autophagy receptor,NDP52; phospho-ubiquitin-responsive receptor,Mechanistically supported in PINK1-Parkin mitophagy but not mitophagy-exclusive,"Lazarou et al. Nature 2015; doi:10.1038/nature14893",Yes,Yes,Secondary candidate,"Directionally lower in Liao ARCO3A-vs-HOA (log2FC -0.162) and descriptive SONFH-vs-HOA (-1.299); neither effect was FDR-supported; matched-comparator perturbation had no replicated downstream FDR gene"
TAX1BP1,Ubiquitin-binding selective-autophagy receptor,Cargo receptor with TBK1-linked selective-autophagy functions,Not mitophagy-exclusive,"Lazarou et al. Nature 2015; doi:10.1038/nature14893",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
SQSTM1,Ubiquitin-binding selective-autophagy receptor,p62 cargo receptor and mitochondrial clustering context,Not a uniquely established primary PINK1-Parkin mitophagy receptor,"Lazarou et al. Nature 2015; doi:10.1038/nature14893",Yes,No,Primary computational case study,"Directionally lower in both displayed transcript contrasts; selected before perturbation-output inspection for the auditable virtual-knockout case; target removed from downstream pathway tests"
NBR1,Ubiquitin-binding selective-autophagy receptor,Cargo receptor and p62-interacting adaptor,Not mitophagy-exclusive,"Lazarou et al. Nature 2015; doi:10.1038/nature14893",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
MAP1LC3B,ATG8-family effector,Autophagosome membrane effector,General autophagy machinery rather than a receptor-specific marker,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,Opposite directions across the two displayed transcript contrasts
GABARAP,ATG8-family effector,Autophagosome membrane effector,General autophagy machinery rather than a receptor-specific marker,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,Opposite directions across the two displayed transcript contrasts
GABARAPL2,ATG8-family effector,Autophagosome membrane effector,General autophagy machinery rather than a receptor-specific marker,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
ATG5,Core autophagy machinery,Autophagosome elongation machinery,General autophagy machinery rather than a selective receptor,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
ATG7,Core autophagy machinery,Autophagy E1-like enzyme,General autophagy machinery rather than a selective receptor,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",No,No,Prespecified panel component,Absent from the frozen 300-gene virtual-knockout feature set
VCP,Ubiquitin-dependent quality control,AAA ATPase supporting mitochondrial protein extraction and turnover,Mitochondrial quality-control context; not a selective-autophagy receptor,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
HIF1A,Upstream stress regulator,Hypoxia-responsive transcriptional regulator,Context regulator; not a selective-autophagy receptor,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
TBK1,Receptor-regulatory kinase,Phosphorylates and activates selective-autophagy receptors,Selective-autophagy regulator with broad innate-immune functions,"Lazarou et al. Nature 2015; doi:10.1038/nature14893",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
ULK1,Autophagy initiation kinase,Initiates autophagosome formation downstream of receptor recruitment,General autophagy machinery rather than a selective receptor,"Lazarou et al. Nature 2015; doi:10.1038/nature14893",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
VDAC1,Mitochondrial outer-membrane context,Outer-membrane channel and ubiquitination context marker,Not a selective-autophagy receptor,"Palikaras et al. Nat Cell Biol 2018; doi:10.1038/s41556-018-0176-2",Yes,Yes,Prespecified panel component,No post hoc disease-candidate status assigned in this audit
